Year	Link	EID
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086001510&doi=10.1016%2fj.cca.2020.05.049&partnerID=40&md5=4125c3e40bf2cd69508d15eab626d264	2-s2.0-85086001510
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085493059&doi=10.29333%2fejgm%2f8233&partnerID=40&md5=7918e5d6b99816d1f1747d543a499397	2-s2.0-85085493059
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083516746&doi=10.1016%2fj.gsd.2020.100400&partnerID=40&md5=c289261870efcdcfddaad55e3b76a475	2-s2.0-85083516746
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086134809&doi=10.1016%2fj.meegid.2020.104386&partnerID=40&md5=01cecee98ee7e407ec6a3c048cc75c64	2-s2.0-85086134809
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086395682&doi=10.1016%2fj.meegid.2020.104374&partnerID=40&md5=7f89f59ac112e46611c17cc9038f43fd	2-s2.0-85086395682
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086449547&doi=10.1016%2fj.bbadis.2020.165878&partnerID=40&md5=add620637af8008126c87d229b43fef8	2-s2.0-85086449547
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085761132&doi=10.1016%2fj.mehy.2020.109862&partnerID=40&md5=9e471f758b8d455a11fe1102bdb485bb	2-s2.0-85085761132
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086161556&doi=10.1016%2fj.meegid.2020.104389&partnerID=40&md5=5aa4cf39f455004877e32bbee22071ce	2-s2.0-85086161556
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086372961&doi=10.1016%2fj.cca.2020.06.004&partnerID=40&md5=748e9a49be5c75219b90d1ea794c5e0d	2-s2.0-85086372961
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085985598&doi=10.1016%2fj.ijbiomac.2020.05.239&partnerID=40&md5=0c2a386aa36955d0d4da42dec94110c3	2-s2.0-85085985598
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085910799&doi=10.1016%2fj.pep.2020.105686&partnerID=40&md5=8ab8e1c42348dbe2326b84e07e0d896e	2-s2.0-85085910799
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084617732&doi=10.1016%2fj.meegid.2020.104330&partnerID=40&md5=03dcce739ca4bdfc434055c8d124ad10	2-s2.0-85084617732
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085772742&doi=10.1016%2fj.meegid.2020.104387&partnerID=40&md5=f06e1a8c7e823eb6cb41e008b836917e	2-s2.0-85085772742
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085971703&doi=10.1016%2fj.bios.2020.112356&partnerID=40&md5=5698882f5f6fc776faa3ed6fecbb5bbb	2-s2.0-85085971703
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086109230&doi=10.1016%2fj.cca.2020.05.050&partnerID=40&md5=5dfa61bbbdc928e87911e15025d2681d	2-s2.0-85086109230
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084793390&doi=10.1016%2fj.clinimag.2020.05.013&partnerID=40&md5=da0b4edb0a199041f701b7a0d95370f0	2-s2.0-85084793390
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085471808&doi=10.1016%2fj.mehy.2020.109843&partnerID=40&md5=e97c420b21868daf8a8960392c82ec66	2-s2.0-85085471808
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085919268&doi=10.1016%2fj.cca.2020.06.002&partnerID=40&md5=9fce4cdd91222662b1756de083e5081b	2-s2.0-85085919268
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085304655&doi=10.1016%2fj.ijbiomac.2020.05.184&partnerID=40&md5=b94134fe49cccad6307632d4c10cb4df	2-s2.0-85085304655
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085529838&doi=10.29333%2fejgm%2f8232&partnerID=40&md5=b2dbb625271973aaf361d4745b79b597	2-s2.0-85085529838
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085763789&doi=10.1016%2fj.jcrc.2020.05.017&partnerID=40&md5=5f0acedbe802cb197054cc3f3bb7395f	2-s2.0-85085763789
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583076&doi=10.1016%2fj.mehy.2020.109882&partnerID=40&md5=2f2fd73476c920b1a81d75f11e2b1248	2-s2.0-85085583076
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085692895&doi=10.1016%2fj.mehy.2020.109904&partnerID=40&md5=a7508617fd10f6f07d0d6290b0d6d08f	2-s2.0-85085692895
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085770789&doi=10.1016%2fj.mehy.2020.109907&partnerID=40&md5=72d2f937e34cfd1307645a780a543b42	2-s2.0-85085770789
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085287139&doi=10.1016%2fj.mehy.2020.109866&partnerID=40&md5=d03a405107d66e359595d958a5a9f678	2-s2.0-85085287139
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085758837&doi=10.1016%2fj.meegid.2020.104384&partnerID=40&md5=350a72c64d78dc304d80457cb55f0050	2-s2.0-85085758837
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085283096&doi=10.34172%2fjnp.2020.37&partnerID=40&md5=e762662ac519663af1a52ee9f2bd7113	2-s2.0-85085283096
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085762116&doi=10.1016%2fj.mehy.2020.109906&partnerID=40&md5=7042cd459d95d9584cd296592e4225d6	2-s2.0-85085762116
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086147920&doi=10.1016%2fj.maturitas.2020.06.003&partnerID=40&md5=fe8f85a79bb219bd759a2f3a0807c0d6	2-s2.0-85086147920
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085978505&doi=10.1016%2fj.mehy.2020.109858&partnerID=40&md5=a26e4860797672d7eb81070f64344065	2-s2.0-85085978505
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085840324&doi=10.1016%2fj.bios.2020.112349&partnerID=40&md5=08ad63a06f288590dfa9efef24819ab6	2-s2.0-85085840324
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085742562&doi=10.1016%2fj.mehy.2020.109886&partnerID=40&md5=c94066c2d43c6b73a4c29112819980f5	2-s2.0-85085742562
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085562769&doi=10.1016%2fj.scitotenv.2020.139806&partnerID=40&md5=2cce70ff7175887b434146a38e9e8c7b	2-s2.0-85085562769
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085285064&doi=10.34172%2fjnp.2020.31&partnerID=40&md5=74b1007c244d0e70a83688220b9136fc	2-s2.0-85085285064
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085253684&doi=10.34172%2fjnp.2020.33&partnerID=40&md5=e48b3fa1e2136aef1f83e0c5a59b1512	2-s2.0-85085253684
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085929650&doi=10.1016%2fj.mehy.2020.109884&partnerID=40&md5=ec0019ea725a5449aba033eaea61cafa	2-s2.0-85085929650
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085163444&doi=10.1016%2fj.mehy.2020.109856&partnerID=40&md5=24d9c9ec5684e79f75e1f9b825e09e1a	2-s2.0-85085163444
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085296023&doi=10.1016%2fj.mehy.2020.109877&partnerID=40&md5=3c3b3a8ef6db875cad31aad649ee4b0d	2-s2.0-85085296023
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085176477&doi=10.1016%2fj.mehy.2020.109878&partnerID=40&md5=66d2f1249c1ae21e70d85e425736428d	2-s2.0-85085176477
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084861488&doi=10.1016%2fj.jclinane.2020.109877&partnerID=40&md5=8eefb7066e8f05c7b45ed2010000fec5	2-s2.0-85084861488
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084843537&doi=10.1016%2fj.jclinane.2020.109882&partnerID=40&md5=8c4cc48d101de9d39c6f272860e61c9d	2-s2.0-85084843537
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085368269&doi=10.1016%2fj.mehy.2020.109881&partnerID=40&md5=f78a7e6a183ef1344e66b5312fbea832	2-s2.0-85085368269
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583669&doi=10.1016%2fj.mehy.2020.109883&partnerID=40&md5=11985f85ba4954dc318d23c914db568a	2-s2.0-85085583669
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086373805&doi=10.1016%2fj.physd.2020.132599&partnerID=40&md5=af5337b568b0b4302a2469a9373348ba	2-s2.0-85086373805
